image,mode,k,m,g,width,height,original_size_bytes,compressed_size_bytes,compression_rate,bpp,psnr_db,psnr_ok_30db,output_image
BDD/test_121.ppm,SLIC,455.0,0.5,1.0,64,64,10615,7976,1.3308676028084252,15.578125,26.5756,False,evaluation_results_auto/generated/test_121_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_121.ppm,slicCC,1024.0,0.7,1.0,64,64,10615,6243,1.700304340861765,12.193359375,20.7252,False,evaluation_results_auto/generated/test_121_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_122.ppm,SLIC,455.0,0.05,1.0,64,64,8791,5889,1.4927831550348107,11.501953125,30.9021,True,evaluation_results_auto/generated/test_122_SLIC_k455_m0.05_g1_clean.ppm
BDD/test_122.ppm,slicCC,1024.0,1.0,1.0,64,64,8791,5220,1.6840996168582376,10.1953125,28.359,False,evaluation_results_auto/generated/test_122_slicCC_k1024_m1_g1_clean.ppm
BDD/test_123.ppm,SLIC,1024.0,1.0,1.0,64,64,9282,7167,1.2951025533696108,13.998046875,30.8923,True,evaluation_results_auto/generated/test_123_SLIC_k1024_m1_g1_clean.ppm
BDD/test_123.ppm,slicCC,1024.0,1.0,1.0,64,64,9282,5956,1.558428475486904,11.6328125,28.0954,False,evaluation_results_auto/generated/test_123_slicCC_k1024_m1_g1_clean.ppm
BDD/test_124.ppm,SLIC,455.0,0.4,1.0,64,64,10109,7374,1.3708977488473013,14.40234375,28.4614,False,evaluation_results_auto/generated/test_124_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_124.ppm,slicCC,1024.0,0.7,1.0,64,64,10109,5929,1.705009276437848,11.580078125,24.458,False,evaluation_results_auto/generated/test_124_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_125.ppm,SLIC,455.0,0.7,1.0,64,64,10703,8313,1.2875015036689523,16.236328125,29.1009,False,evaluation_results_auto/generated/test_125_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_125.ppm,slicCC,1024.0,0.05,1.0,64,64,10703,6309,1.696465366936123,12.322265625,23.2523,False,evaluation_results_auto/generated/test_125_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_126.ppm,SLIC,64.0,1.0,3.0,64,64,7207,3170,2.273501577287066,6.19140625,31.4234,True,evaluation_results_auto/generated/test_126_SLIC_k64_m1_g3_clean.ppm
BDD/test_126.ppm,slicCC,455.0,0.3,1.0,64,64,7207,4091,1.7616719628452702,7.990234375,31.3851,True,evaluation_results_auto/generated/test_126_slicCC_k455_m0.3_g1_clean.ppm
BDD/test_127.ppm,SLIC,455.0,1.0,1.0,64,64,10371,7608,1.3631703470031546,14.859375,27.7341,False,evaluation_results_auto/generated/test_127_SLIC_k455_m1_g1_clean.ppm
BDD/test_127.ppm,slicCC,1024.0,1.0,1.0,64,64,10371,6299,1.646451817748849,12.302734375,24.978,False,evaluation_results_auto/generated/test_127_slicCC_k1024_m1_g1_clean.ppm
BDD/test_128.ppm,SLIC,256.0,0.5,1.0,64,64,9112,6320,1.441772151898734,12.34375,30.5909,True,evaluation_results_auto/generated/test_128_SLIC_k256_m0.5_g1_clean.ppm
BDD/test_128.ppm,slicCC,1024.0,0.7,1.0,64,64,9112,5659,1.610178476762679,11.052734375,26.9621,False,evaluation_results_auto/generated/test_128_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_129.ppm,SLIC,256.0,0.7,1.0,64,64,9221,7058,1.3064607537546047,13.78515625,30.3213,True,evaluation_results_auto/generated/test_129_SLIC_k256_m0.7_g1_clean.ppm
BDD/test_129.ppm,slicCC,1024.0,0.05,1.0,64,64,9221,6004,1.53580946035976,11.7265625,26.1959,False,evaluation_results_auto/generated/test_129_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_13.ppm,SLIC,455.0,0.7,1.0,64,64,9887,7442,1.3285407148615964,14.53515625,29.6371,False,evaluation_results_auto/generated/test_13_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_13.ppm,slicCC,1024.0,0.5,1.0,64,64,9887,6197,1.5954494110053252,12.103515625,25.0434,False,evaluation_results_auto/generated/test_13_slicCC_k1024_m0.5_g1_clean.ppm
BDD/test_130.ppm,SLIC,455.0,0.2,1.0,64,64,10085,8177,1.233337409807998,15.970703125,29.2333,False,evaluation_results_auto/generated/test_130_SLIC_k455_m0.2_g1_clean.ppm
BDD/test_130.ppm,slicCC,1024.0,0.05,1.0,64,64,10085,6081,1.658444334813353,11.876953125,23.4362,False,evaluation_results_auto/generated/test_130_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_131.ppm,SLIC,455.0,0.7,1.0,64,64,9490,7575,1.2528052805280527,14.794921875,30.5444,True,evaluation_results_auto/generated/test_131_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_131.ppm,slicCC,1024.0,0.05,1.0,64,64,9490,5901,1.6082019996610744,11.525390625,23.8966,False,evaluation_results_auto/generated/test_131_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_132.ppm,SLIC,256.0,1.0,1.0,64,64,8889,6146,1.4463065408395706,12.00390625,30.7004,True,evaluation_results_auto/generated/test_132_SLIC_k256_m1_g1_clean.ppm
BDD/test_132.ppm,slicCC,1024.0,0.05,1.0,64,64,8889,5738,1.5491460439177414,11.20703125,27.6893,False,evaluation_results_auto/generated/test_132_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_133.ppm,SLIC,455.0,1.0,1.0,64,64,10179,7346,1.3856520555404301,14.34765625,29.3221,False,evaluation_results_auto/generated/test_133_SLIC_k455_m1_g1_clean.ppm
BDD/test_133.ppm,slicCC,1024.0,0.05,1.0,64,64,10179,6095,1.6700574241181296,11.904296875,24.5568,False,evaluation_results_auto/generated/test_133_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_134.ppm,SLIC,455.0,0.4,1.0,64,64,10069,7661,1.3143192794674325,14.962890625,28.85,False,evaluation_results_auto/generated/test_134_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_134.ppm,slicCC,1024.0,0.7,1.0,64,64,10069,6010,1.6753743760399336,11.73828125,22.152,False,evaluation_results_auto/generated/test_134_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_135.ppm,SLIC,455.0,1.0,1.0,64,64,11040,8754,1.261137765592872,17.09765625,27.8418,False,evaluation_results_auto/generated/test_135_SLIC_k455_m1_g1_clean.ppm
BDD/test_135.ppm,slicCC,1024.0,0.05,1.0,64,64,11040,6392,1.7271589486858574,12.484375,21.3956,False,evaluation_results_auto/generated/test_135_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_136.ppm,SLIC,455.0,0.7,1.0,64,64,6323,4896,1.2914624183006536,9.5625,31.3545,True,evaluation_results_auto/generated/test_136_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_136.ppm,slicCC,1024.0,0.05,1.0,64,64,6323,4187,1.510150465727251,8.177734375,26.0837,False,evaluation_results_auto/generated/test_136_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_137.ppm,SLIC,256.0,0.1,1.0,64,64,8720,6569,1.327447100015223,12.830078125,31.73,True,evaluation_results_auto/generated/test_137_SLIC_k256_m0.1_g1_clean.ppm
BDD/test_137.ppm,slicCC,1024.0,1.0,1.0,64,64,8720,5632,1.5482954545454546,11.0,27.7173,False,evaluation_results_auto/generated/test_137_slicCC_k1024_m1_g1_clean.ppm
BDD/test_138.ppm,SLIC,455.0,1.0,1.0,64,64,10200,7459,1.367475532913259,14.568359375,28.8118,False,evaluation_results_auto/generated/test_138_SLIC_k455_m1_g1_clean.ppm
BDD/test_138.ppm,slicCC,1024.0,1.0,1.0,64,64,10200,6185,1.649151172190784,12.080078125,24.6245,False,evaluation_results_auto/generated/test_138_slicCC_k1024_m1_g1_clean.ppm
BDD/test_139.ppm,SLIC,455.0,1.0,1.0,64,64,11406,8365,1.3635385534967126,16.337890625,25.5481,False,evaluation_results_auto/generated/test_139_SLIC_k455_m1_g1_clean.ppm
BDD/test_139.ppm,slicCC,1024.0,1.0,1.0,64,64,11406,6566,1.7371306731647882,12.82421875,20.1505,False,evaluation_results_auto/generated/test_139_slicCC_k1024_m1_g1_clean.ppm
BDD/test_14.ppm,SLIC,455.0,0.4,1.0,64,64,10396,8096,1.2840909090909092,15.8125,30.1103,True,evaluation_results_auto/generated/test_14_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_14.ppm,slicCC,1024.0,1.0,1.0,64,64,10396,6161,1.6873884109722448,12.033203125,24.5263,False,evaluation_results_auto/generated/test_14_slicCC_k1024_m1_g1_clean.ppm
BDD/test_140.ppm,SLIC,256.0,1.0,1.0,64,64,8320,5591,1.4881058844571633,10.919921875,31.2637,True,evaluation_results_auto/generated/test_140_SLIC_k256_m1_g1_clean.ppm
BDD/test_140.ppm,slicCC,1024.0,0.7,1.0,64,64,8320,5629,1.4780600461893765,10.994140625,30.058,True,evaluation_results_auto/generated/test_140_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_141.ppm,SLIC,455.0,0.5,1.0,64,64,11050,8707,1.2690938325485241,17.005859375,28.1677,False,evaluation_results_auto/generated/test_141_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_141.ppm,slicCC,1024.0,0.7,1.0,64,64,11050,6711,1.6465504395768142,13.107421875,22.1745,False,evaluation_results_auto/generated/test_141_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_142.ppm,SLIC,455.0,0.4,1.0,64,64,9780,6979,1.4013468978363663,13.630859375,29.3273,False,evaluation_results_auto/generated/test_142_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_142.ppm,slicCC,1024.0,0.7,1.0,64,64,9780,4816,2.030730897009967,9.40625,22.1043,False,evaluation_results_auto/generated/test_142_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_143.ppm,SLIC,455.0,0.2,1.0,64,64,9331,7862,1.1868481302467566,15.35546875,30.5271,True,evaluation_results_auto/generated/test_143_SLIC_k455_m0.2_g1_clean.ppm
BDD/test_143.ppm,slicCC,1024.0,0.05,1.0,64,64,9331,5928,1.574055330634278,11.578125,22.6075,False,evaluation_results_auto/generated/test_143_slicCC_k1024_m0.05_g1_clean.ppm
