image,mode,bpp,psnr_db,compression_rate,k,m,g,psnr_ok_30db
BDD/test_168.ppm,SLIC,16.04296875,28.4944,1.2608960311663013,455.0,0.7,1.0,False
BDD/test_168.ppm,slicCC,12.396484375,23.6019,1.6317945486056404,1024.0,0.1,1.0,False
BDD/test_169.ppm,SLIC,14.48046875,30.3776,1.3134610196924736,455.0,0.05,1.0,True
BDD/test_169.ppm,slicCC,11.595703125,26.4417,1.64022233451238,1024.0,1.0,1.0,False
BDD/test_17.ppm,SLIC,16.380859375,26.7844,1.3348038631214976,455.0,0.05,1.0,False
BDD/test_17.ppm,slicCC,12.611328125,21.7853,1.7337772959578752,1024.0,1.0,1.0,False
BDD/test_170.ppm,SLIC,13.3046875,28.2746,1.4434820904286554,455.0,0.4,1.0,False
BDD/test_170.ppm,slicCC,11.439453125,24.9017,1.6788458255079393,1024.0,0.5,1.0,False
BDD/test_171.ppm,SLIC,8.58984375,31.0304,1.7755798090040928,64.0,0.05,2.0,True
BDD/test_171.ppm,slicCC,10.404296875,29.6508,1.4659282898441899,1024.0,0.7,1.0,False
BDD/test_172.ppm,SLIC,15.078125,29.8675,1.2738341968911917,455.0,0.7,1.0,False
BDD/test_172.ppm,slicCC,12.412109375,23.6086,1.5474429583005507,1024.0,0.7,1.0,False
BDD/test_173.ppm,SLIC,15.82421875,29.508,1.275240681313256,455.0,0.7,1.0,False
BDD/test_173.ppm,slicCC,12.326171875,25.0932,1.6371414989700523,1024.0,0.05,1.0,False
BDD/test_174.ppm,SLIC,6.9765625,32.7999,1.6450167973124301,64.0,0.05,1.0,True
BDD/test_174.ppm,slicCC,8.419921875,30.1439,1.3630248202273254,1024.0,0.7,1.0,True
BDD/test_175.ppm,SLIC,16.62109375,23.9548,1.380023501762632,455.0,0.4,1.0,False
BDD/test_175.ppm,slicCC,13.146484375,19.7264,1.7447630366958846,1024.0,0.4,1.0,False
BDD/test_176.ppm,SLIC,13.802734375,31.544,1.274090844771473,455.0,0.5,1.0,True
BDD/test_176.ppm,slicCC,11.052734375,26.8536,1.591093832832656,1024.0,0.5,1.0,False
BDD/test_177.ppm,SLIC,15.302734375,29.8637,1.3116783663050415,455.0,0.1,1.0,False
BDD/test_177.ppm,slicCC,12.453125,24.8293,1.6118255959849435,1024.0,0.1,1.0,False
BDD/test_178.ppm,SLIC,16.88671875,27.6952,1.219292158223456,455.0,0.3,1.0,False
BDD/test_178.ppm,slicCC,11.91796875,22.0114,1.727630285152409,1024.0,0.05,1.0,False
BDD/test_179.ppm,SLIC,16.38671875,27.3266,1.2946364719904648,455.0,0.05,1.0,False
BDD/test_179.ppm,slicCC,12.6328125,21.379,1.6793444650587508,1024.0,0.05,1.0,False
BDD/test_18.ppm,SLIC,18.5703125,28.2981,1.2142406394615062,455.0,0.4,1.0,False
BDD/test_18.ppm,slicCC,13.103515625,21.4118,1.72082277537636,1024.0,0.05,1.0,False
BDD/test_180.ppm,SLIC,12.556640625,31.0329,1.2036086483123347,1024.0,0.05,1.0,True
BDD/test_180.ppm,slicCC,10.158203125,26.5189,1.4877908094597192,1024.0,0.05,1.0,False
